,1step,10steps,100steps
MMAML (SOTA),0.43,0.48,0.47
TSA-MAML (SOTA),0.4,0.58,0.59
Reptile,0.4,0.43,0.43
Reptile (3 models),0.46,0.48,0.49
Reptile (5 models),0.52,0.52,0.52
MAML,0.39,0.52,0.53
MAML (3 models),0.35,0.53,0.54
MAML (5 models),0.41,0.55,0.55
Multi-Reptile,0.42,0.44,0.45
Multi-MAML,0.39,0.57,0.6
Reptile_3 (oracle),0.46,0.49,0.49
Reptile_5 (oracle),0.52,0.53,0.53
MAML_3 (oracle),0.38,0.58,0.57
MAML_5 (oracle),0.47,0.64,0.65
