,1step,10steps,100steps
MMAML (SOTA),0.57,0.32,0.18
TSA-MAML (SOTA),6.81,1.65,1.31
Reptile,1.5,0.5,0.45
Reptile (3 models),0.57,0.14,0.11
Reptile (5 models),0.42,0.07,0.05
MAML,1.45,0.42,0.2
MAML (3 models),2.78,0.31,0.16
MAML (5 models),1.59,0.2,0.09
Multi-Reptile,0.96,0.25,0.16
Multi-MAML,0.7,0.08,0.03
Reptile_3 (oracle),0.54,0.12,0.1
Reptile_5 (oracle),0.41,0.07,0.05
MAML_3 (oracle),4.24,0.25,0.16
MAML_5 (oracle),8.34,0.17,0.11
