,1step,10steps,100steps
MMAML (SOTA),0.27,0.13,0.07
TSA-MAML (SOTA),0.85,0.7,0.68
Reptile,0.37,0.07,0.09
Reptile (3 models),0.07,0.03,0.02
Reptile (5 models),0.09,0.0,0.0
MAML,0.56,0.11,0.08
MAML (3 models),0.49,0.08,0.03
MAML (5 models),0.06,0.08,0.04
Multi-Reptile,0.09,0.12,0.12
Multi-MAML,0.2,0.02,0.0
Reptile_3 (oracle),0.04,0.03,0.03
Reptile_5 (oracle),0.09,0.0,0.0
MAML_3 (oracle),1.79,0.1,0.03
MAML_5 (oracle),8.9,0.07,0.06
