,1step,10steps,100steps
MMAML (SOTA),0.16,0.16,0.06
TSA-MAML (SOTA),2.0,1.21,1.09
Reptile,0.65,0.15,0.18
Reptile (3 models),0.17,0.08,0.06
Reptile (5 models),0.14,0.07,0.07
MAML,0.4,0.24,0.25
MAML (3 models),0.16,0.15,0.16
MAML (5 models),1.01,0.05,0.12
Multi-Reptile,0.11,0.06,0.03
Multi-MAML,0.14,0.05,0.03
Reptile_3 (oracle),0.23,0.06,0.04
Reptile_5 (oracle),0.18,0.05,0.04
MAML_3 (oracle),0.99,0.06,0.05
MAML_5 (oracle),0.54,0.1,0.07
