,1step,10steps,100steps
MMAML (SOTA),0.17,0.12,0.1
TSA-MAML (SOTA),4.7,1.92,1.8
Reptile,3.75,1.52,1.4
Reptile (3 models),1.38,0.67,0.6
Reptile (5 models),1.19,0.67,0.62
MAML,1.86,0.69,0.58
MAML (3 models),2.96,1.06,0.34
MAML (5 models),2.18,1.65,0.59
Multi-Reptile,3.46,1.53,1.35
Multi-MAML,1.93,0.12,0.03
Reptile_3 (oracle),1.42,0.58,0.53
Reptile_5 (oracle),1.03,0.36,0.32
MAML_3 (oracle),5.2,0.43,0.22
MAML_5 (oracle),6.3,0.21,0.17
