,1step,10steps,100steps
MMAML (SOTA),0.02,0.01,0.01
TSA-MAML (SOTA),0.03,0.0,0.01
Reptile,0.0,0.01,0.01
Reptile (3 models),0.01,0.0,0.0
Reptile (5 models),0.01,0.01,0.01
MAML,0.05,0.08,0.07
MAML (3 models),0.06,0.03,0.03
MAML (5 models),0.03,0.01,0.01
Multi-Reptile,0.01,0.01,0.01
Multi-MAML,0.03,0.05,0.04
Reptile_3 (oracle),0.0,0.01,0.01
Reptile_5 (oracle),0.01,0.01,0.01
MAML_3 (oracle),0.06,0.04,0.03
MAML_5 (oracle),0.01,0.02,0.01
