,1step,10steps,100steps
MMAML (SOTA),0.12,0.12,0.14
TSA-MAML (SOTA),2.5,0.86,0.72
Reptile,0.24,0.24,0.22
Reptile (3 models),0.14,0.09,0.1
Reptile (5 models),0.2,0.09,0.09
MAML,0.17,0.15,0.12
MAML (3 models),0.76,0.12,0.11
MAML (5 models),0.41,0.26,0.03
Multi-Reptile,0.23,0.07,0.01
Multi-MAML,0.2,0.18,0.04
Reptile_3 (oracle),0.23,0.01,0.03
Reptile_5 (oracle),0.16,0.02,0.02
MAML_3 (oracle),0.77,0.13,0.12
MAML_5 (oracle),1.01,0.01,0.02
