,1step,10steps,100steps
MMAML (SOTA),0.78,0.58,0.44
TSA-MAML (SOTA),9.6,2.88,2.02
Reptile,3.59,1.0,0.68
Reptile (3 models),1.35,0.57,0.49
Reptile (5 models),1.25,0.47,0.38
MAML,4.32,0.85,0.36
MAML (3 models),3.71,1.01,0.58
MAML (5 models),2.01,0.51,0.41
Multi-Reptile,1.22,0.2,0.17
Multi-MAML,1.33,0.22,0.16
Reptile_3 (oracle),0.99,0.21,0.15
Reptile_5 (oracle),0.93,0.15,0.1
MAML_3 (oracle),3.55,0.8,0.45
MAML_5 (oracle),1.58,0.22,0.14
