,1step,10steps,100steps
MMAML (SOTA),0.33,0.44,0.42
TSA-MAML (SOTA),0.25,0.35,0.4
Reptile,0.44,0.47,0.48
Reptile (3 models),0.35,0.39,0.44
Reptile (5 models),0.38,0.41,0.45
MAML,0.41,0.53,0.52
MAML (3 models),0.47,0.59,0.59
MAML (5 models),0.5,0.62,0.61
Multi-Reptile,0.45,0.47,0.48
Multi-MAML,0.38,0.5,0.51
Reptile_3 (oracle),0.38,0.42,0.46
Reptile_5 (oracle),0.41,0.45,0.48
MAML_3 (oracle),0.49,0.62,0.61
MAML_5 (oracle),0.51,0.64,0.62
