,1step,10steps,100steps
MMAML (SOTA),0.46,0.62,0.63
TSA-MAML (SOTA),0.39,0.56,0.6
Reptile,0.6,0.64,0.65
Reptile (3 models),0.51,0.59,0.65
Reptile (5 models),0.49,0.57,0.63
MAML,0.53,0.69,0.68
MAML (3 models),0.62,0.74,0.74
MAML (5 models),0.66,0.75,0.75
Multi-Reptile,0.61,0.65,0.66
Multi-MAML,0.56,0.69,0.7
Reptile_3 (oracle),0.53,0.61,0.67
Reptile_5 (oracle),0.52,0.61,0.65
MAML_3 (oracle),0.64,0.75,0.75
MAML_5 (oracle),0.68,0.77,0.77
