,1step,10steps,100steps
MMAML (SOTA),0.1,0.15,0.15
TSA-MAML (SOTA),0.76,0.37,0.34
Reptile,0.38,0.47,0.47
Reptile (3 models),0.32,0.12,0.16
Reptile (5 models),0.33,0.34,0.32
MAML,0.29,0.48,0.43
MAML (3 models),0.35,0.03,0.14
MAML (5 models),0.2,0.27,0.2
Multi-Reptile,0.55,0.27,0.11
Multi-MAML,0.4,0.33,0.01
Reptile_3 (oracle),0.28,0.11,0.12
Reptile_5 (oracle),0.22,0.12,0.12
MAML_3 (oracle),1.33,0.22,0.08
MAML_5 (oracle),4.92,0.06,0.04
