,1step,10steps,100steps
MMAML (SOTA),0.62,0.48,
TSA-MAML (SOTA),1.36,0.98,0.94
Reptile,1.0,1.27,1.13
Reptile (3 models),0.22,0.24,0.25
Reptile (5 models),0.17,0.08,0.03
MAML,0.11,0.24,0.27
MAML (3 models),0.62,0.18,0.14
MAML (5 models),0.23,0.22,0.33
Multi-Reptile,0.32,0.17,0.09
Multi-MAML,0.35,0.02,0.03
Reptile_3 (oracle),0.41,0.26,0.2
Reptile_5 (oracle),0.1,0.05,0.04
MAML_3 (oracle),0.59,0.22,0.12
MAML_5 (oracle),0.43,0.17,0.12
