,1step,10steps,100steps
MMAML (SOTA),0.54,0.52,0.93
TSA-MAML (SOTA),0.56,0.54,0.45
Reptile,0.53,0.28,0.28
Reptile (3 models),0.31,0.14,0.14
Reptile (5 models),0.33,0.1,0.1
MAML,0.41,0.6,0.51
MAML (3 models),0.62,0.29,0.27
MAML (5 models),0.27,0.26,0.13
Multi-Reptile,0.51,0.06,0.05
Multi-MAML,0.29,0.17,0.14
Reptile_3 (oracle),0.33,0.06,0.06
Reptile_5 (oracle),0.25,0.05,0.05
MAML_3 (oracle),0.27,0.34,0.28
MAML_5 (oracle),0.31,0.08,0.12
