,1step,10steps,100steps
MMAML (SOTA),0.05,0.04,0.04
TSA-MAML (SOTA),0.05,0.04,0.04
Reptile,0.02,0.04,0.04
Reptile (3 models),0.22,0.15,0.07
Reptile (5 models),0.2,0.15,0.07
MAML,0.02,0.02,0.02
MAML (3 models),0.03,0.03,0.02
MAML (5 models),0.04,0.02,0.02
Multi-Reptile,0.03,0.02,0.02
Multi-MAML,0.06,0.04,0.03
Reptile_3 (oracle),0.21,0.14,0.07
Reptile_5 (oracle),0.21,0.14,0.08
MAML_3 (oracle),0.03,0.02,0.02
MAML_5 (oracle),0.02,0.02,0.01
