,1step,10steps,100steps
MMAML (SOTA),0.08,0.02,0.02
TSA-MAML (SOTA),0.05,0.01,0.01
Reptile,0.01,0.01,0.01
Reptile (3 models),0.33,0.2,0.06
Reptile (5 models),0.29,0.18,0.04
MAML,0.03,0.01,0.01
MAML (3 models),0.03,0.01,0.01
MAML (5 models),0.03,0.01,0.01
Multi-Reptile,0.0,0.01,0.01
Multi-MAML,0.02,0.01,0.01
Reptile_3 (oracle),0.32,0.18,0.05
Reptile_5 (oracle),0.28,0.17,0.04
MAML_3 (oracle),0.03,0.01,0.01
MAML_5 (oracle),0.0,0.0,0.0
