,1step,10steps,100steps
MMAML (SOTA),0.28,0.17,0.16
TSA-MAML (SOTA),1.59,1.65,1.13
Reptile,0.54,0.1,0.09
Reptile (3 models),0.39,0.17,0.1
Reptile (5 models),0.35,0.04,0.02
MAML,0.99,0.33,0.2
MAML (3 models),0.13,0.09,0.04
MAML (5 models),1.27,0.14,0.07
Multi-Reptile,0.46,0.04,0.01
Multi-MAML,0.25,0.0,0.02
Reptile_3 (oracle),0.45,0.03,0.04
Reptile_5 (oracle),0.32,0.02,0.02
MAML_3 (oracle),0.23,0.14,0.08
MAML_5 (oracle),1.25,0.11,0.04
