,1step,10steps,100steps
MMAML (SOTA),0.19,0.01,0.01
TSA-MAML (SOTA),0.8,0.2,0.13
Reptile,0.42,0.14,0.13
Reptile (3 models),0.21,0.07,0.04
Reptile (5 models),0.02,0.01,0.01
MAML,0.1,0.07,0.08
MAML (3 models),1.88,0.02,0.04
MAML (5 models),0.81,0.09,0.04
Multi-Reptile,0.18,0.01,0.01
Multi-MAML,0.34,0.16,0.0
Reptile_3 (oracle),0.21,0.05,0.04
Reptile_5 (oracle),0.06,0.02,0.01
MAML_3 (oracle),1.1,0.04,0.03
MAML_5 (oracle),0.83,0.03,0.01
