,1step,10steps,100steps
MMAML (SOTA),0.2,0.15,0.12
TSA-MAML (SOTA),2.83,1.07,0.89
Reptile,0.13,0.14,0.15
Reptile (3 models),0.08,0.06,0.06
Reptile (5 models),0.37,0.2,0.13
MAML,0.33,0.11,0.09
MAML (3 models),0.78,0.11,0.11
MAML (5 models),0.83,0.21,0.04
Multi-Reptile,0.3,0.11,0.07
Multi-MAML,0.21,0.27,0.01
Reptile_3 (oracle),0.05,0.03,0.02
Reptile_5 (oracle),0.31,0.08,0.04
MAML_3 (oracle),1.04,0.06,0.02
MAML_5 (oracle),0.73,0.04,0.03
