,1step,10steps,100steps
MMAML (SOTA),0.21,0.12,0.09
TSA-MAML (SOTA),4.67,1.23,0.96
Reptile,2.26,0.72,0.63
Reptile (3 models),0.86,0.27,0.22
Reptile (5 models),0.72,0.25,0.18
MAML,1.52,0.29,0.18
MAML (3 models),2.49,0.42,0.21
MAML (5 models),2.08,0.39,0.11
Multi-Reptile,1.43,0.32,0.24
Multi-MAML,1.28,0.43,0.02
Reptile_3 (oracle),0.82,0.21,0.17
Reptile_5 (oracle),0.62,0.14,0.09
MAML_3 (oracle),2.6,0.25,0.14
MAML_5 (oracle),1.77,0.13,0.09
